orderId,label,value,footerClass
sprouts-instacart,Items subtotal,$26.48,
sprouts-instacart,Sale savings,−$5.46,discount
sprouts-instacart,Delivery + service + tip + bag fee,$6.73,fees
sprouts-instacart,Order Total,$33.21,grand
walmart,Subtotal,$80.55,
walmart,Sales tax,$4.01,fees
walmart,Order Total,$84.56,grand
sports-basement,Subtotal (23 items),$163.80,
sports-basement,Basementeer membership savings,−$17.97,discount
sports-basement,Shipping,Free,fees
sports-basement,Order Total,$163.80,grand
peak-refuel,List price subtotal,$577.60,
peak-refuel,Member discount,−$58.00,discount
peak-refuel,Shipping / tax,$0.00,fees
peak-refuel,Order Total,$519.60,grand
amazon,Items subtotal,$384.53,
amazon,Coupon savings,−$1.30,discount
amazon,Shipping & tax,$0.00,fees
amazon,Order Total,$383.23,grand
costco-instacart,Items subtotal,$133.81,subtotal
costco-instacart,Sales tax,$1.60,fees
costco-instacart,Delivery discount,−$2.00,discount
costco-instacart,Tip,$6.69,fees
costco-instacart,Order Total,$140.10,grand
amazon-fresh,Items subtotal,$22.52,subtotal
amazon-fresh,Shipping & tax,$0.00,fees
amazon-fresh,Delivery fee,$4.99,fees
amazon-fresh,Order Total,$27.51,grand
rei,Items subtotal,$20.85,subtotal
rei,Proportional sales tax,$1.65,fees
rei,Reimbursable Total,$22.50,grand
reserveamerica-stars,Use fee,$15.00,subtotal
reserveamerica-stars,Transaction fee,$8.00,fees
reserveamerica-stars,Order Total,$23.00,grand
chevron-gas,Safeway discount (−$0.200/gal),−$4.08,discount
chevron-gas,Fuel Total,$128.59,grand
reserveamerica-maggies,Use fee,$15.00,subtotal
reserveamerica-maggies,Order Total,$15.00,grand
