orderId,name,nameNote,category,badge,qty,unit,total
sprouts-instacart,SunButter On The Go Squeeze Packs (6 ct),,Allergy Scout,badge-allergy,1,8.49,8.49
sprouts-instacart,GoMacro Heartwarming Retreat Oatmeal Choc Chip,,Allergy Scout,badge-allergy,2,2.5,5.0
sprouts-instacart,CLIF BAR Chocolate Chip Bars 5-Pack,,Allergy Scout,badge-allergy,1,8.99,8.99
sprouts-instacart,88 Acres Warm 'N' Chewy Oatmeal Choc Chip Seed + Oat Bar (1.6 oz),,Allergy Scout,badge-allergy,2,2.0,4.0
walmart,Idahoan Butter & Herb Mashed Potatoes 4 oz (12-pack),,Dinner Side,badge-meals,1,16.38,16.38
walmart,Gatorade G Zero Powder Variety Pack (40-ct),,Electrolytes,badge-drinks,2,21.39,42.78
walmart,Swiss Miss Hot Chocolate Mix w/ Marshmallows (30-ct),,Scout Drink,badge-drinks,1,9.87,9.87
walmart,Idahoan Butter & Herb Mashed Potatoes 4 oz (8-pack),,Dinner Side,badge-meals,1,11.52,11.52
sports-basement,Krave Beef Sticks Mini Multipack — Sonoma Style Original,,Jerky,badge-jerky,3 packs,12.6,37.8
sports-basement,Krave Oven Roasted Jerky — Sea Salt Original 2.7 oz,,Jerky,badge-jerky,20 bags,6.3,126.0
peak-refuel,PB Chocolate Chip Cookie Bites — 2 Servings,,Snack,badge-snacks,4,7.95,28.6
peak-refuel,Fudge Brownie Bites — 2 Servings,,Snack,badge-snacks,4,7.95,28.6
peak-refuel,Beef Pasta Marinara — 2 Servings,,Sat Dinner,badge-meals,14,14.95,188.3
peak-refuel,Crème Brûlée — 2 Servings,,Sat Dessert,badge-meals,12,7.95,85.8
peak-refuel,Beef Stroganoff — 2 Servings,,Sun Dinner,badge-meals,14,14.95,188.3
amazon,MET-Rx Big 100 Protein Bar Variety Pack 9-ct (×3 packs = 27 bars),,Sun Breakfast,badge-meals,1,59.79,59.79
amazon,Dried Mango Slices 2 lb bulk (×2 bags),,Sat Snack,badge-snacks,2,14.99,29.98
amazon,KIND Dark Choc Nuts & Sea Salt 12-ct (×2 boxes),,Sun Snack,badge-snacks,2,9.99,19.98
amazon,ProBar Meal Oatmeal Chocolate Chip 12-ct,,Mon Breakfast,badge-meals,1,30.18,30.18
amazon,ProBar Meal Fan Favorites Variety Pack 12-ct,,Mon Breakfast,badge-meals,1,32.19,32.19
amazon,Premium Dried Banana Chips 64 oz bulk,,Sun Snack,badge-snacks,1,25.95,25.95
amazon,StarKist Less Sodium White Chicken 2.6 oz Pouch,,Sun Lunch,badge-meals,8,1.88,15.04
amazon,Justin's Classic PB Squeeze Packs 1.15 oz (10-ct) (×4 packs),,Lunch Spread,badge-meals,4,9.9,39.6
amazon,Justin's PB Cups Dark Chocolate Mini Organic 4.7 oz (×5),,Sun Dessert,badge-meals,5,6.59,32.95
amazon,Wasa Crisp'n Light 7 Grains Crispbread 4.9 oz (4-pack),,Sat Lunch,badge-meals,1,15.96,15.96
amazon,KIND PB Dark Choc Healthy Grains Bar 10-ct (×2 boxes),,Sat Snack,badge-snacks,2,6.97,13.94
amazon,CLIF BAR Crunchy Peanut Butter 15-ct (×3 packs),,Lunch / Snack,badge-snacks,3,16.99,50.97
amazon,StarKist Premium White Chicken 2.6 oz 12-pack,,Sun Lunch,badge-meals,1,18.0,18.0
costco-instacart,Nature's Garden Probiotic Strawberry Yoggies 0.7oz (30-ct),,Snack,badge-snacks,1,14.63,14.63
costco-instacart,Columbus Italian Dry Salame Sliced 16oz (2-ct),,Sat Lunch,badge-meals,2,11.34,22.68
costco-instacart,Starbucks VIA Instant Colombia Coffee Medium Roast 26-ct,,Scout Drink,badge-drinks,1,18.15,18.15
costco-instacart,Ziploc Seal Top Bag Variety Pack 322-count,,,,1,16.45,16.45
costco-instacart,Tillamook Medium Cheddar Snacking Cheese 0.75oz (52-ct),,Snack,badge-snacks,2,16.67,33.34
costco-instacart,"Guerrero 8"" Flour Tortillas 40-ct",,Sat Lunch,badge-meals,4,5.44,21.76
costco-instacart,La Boulangere Chocolate Filled Crepes with Hazelnut 1.13oz (20-ct),,Dessert,badge-snacks,1,6.8,6.8
amazon-fresh,"Velveeta Original Cheese Sauce Pouches, 3 ct Box with 4 oz Pouches",,Staples,badge-meals,2,3.28,6.56
amazon-fresh,"Wasa Crisp'n Light 7 Grains Crispbread, 4.9 oz (Pack of 4)",,Snack,badge-snacks,1,15.96,15.96
rei,Jetpower Fuel — 8.11 oz / 230 g,,Cooking Gear,badge-gear,3,6.95,20.85
reserveamerica-stars,"SUN: Stars Rest BP Camp (30) — Sat Apr 4 → Sun Apr 5, 2026",9 occupants,Campsite,badge-campsite,1 night,15.0,15.0
reserveamerica-stars,Transaction fee,,,,1,8.0,8.0
chevron-gas,Unleaded Plus — 20.415 gal,,Gas,badge-fuel,20.415 gal,6.299,128.59
reserveamerica-maggies,"OHL: Maggie's #3 BP Camp (16) — Sun Apr 5 → Mon Apr 6, 2026",9 occupants,Campsite,badge-campsite,1 night,15.0,15.0
